observation,action
"-0.30363566, 0.7709148, -0.45364994, -0.9321485, -0.42626762, -0.7047334, 0.0, 0.0","0.8085879, -0.68318737"
"-0.30812803, 0.7508583, -0.4183476, -0.9011349, -0.45999643, -0.6745763, 0.0, 0.0","0.78777426, -0.7289651"
"-0.3124671, 0.73064303, -0.40499607, -0.9083504, -0.49207523, -0.6415762, 0.0, 0.0","0.7777337, -0.7521592"
"-0.31679282, 0.7104255, -0.40533042, -0.90862566, -0.52281386, -0.6147723, 0.0, 0.0","0.7750786, -0.76036865"
"-0.3206882, 0.690602, -0.3643455, -0.8910106, -0.55173385, -0.57839966, 0.0, 0.0","0.7726066, -0.76345104"
"-0.32444876, 0.67113364, -0.35243103, -0.87522703, -0.5793306, -0.5519349, 0.0, 0.0","0.7726066, -0.76345104"
"-0.32790017, 0.65155524, -0.32352018, -0.87982476, -0.60502994, -0.51398623, 0.0, 0.0","0.7726066, -0.76345104"
"-0.33122677, 0.6322539, -0.31250176, -0.8673496, -0.62940663, -0.48753554, 0.0, 0.0","0.7726066, -0.76345104"
"-0.33445317, 0.61305, -0.30396393, -0.86276966, -0.6523856, -0.45957893, 0.0, 0.0","0.7726066, -0.76345104"
"-0.33744702, 0.5939419, -0.28229594, -0.85812706, -0.6737734, -0.42775688, 0.0, 0.0","0.7726066, -0.76345104"
"-0.3400084, 0.5750072, -0.24075647, -0.8498841, -0.6933431, -0.39139432, 0.0, 0.0","0.7726066, -0.76345104"
"-0.3421064, 0.55667466, -0.19583277, -0.8226419, -0.71139395, -0.361017, 0.0, 0.0","0.7721488, -0.76345104"
"-0.34368128, 0.5387419, -0.14505525, -0.8042677, -0.72770625, -0.32624593, 0.0, 0.0","0.7720267, -0.75896484"
"-0.34499034, 0.5208037, -0.11988703, -0.8038805, -0.74235183, -0.2929116, 0.0, 0.0","0.77193516, -0.7514878"
"-0.3456405, 0.5031419, -0.05560603, -0.790796, -0.7550328, -0.2536185, 0.0, 0.0","0.77193516, -0.73970765"
"-0.3456406, 0.48574677, 0.007892424, -0.7781178, -0.7657927, -0.21519902, 0.0, 0.0","0.77193516, -0.7184057"
"-0.3449518, 0.4685707, 0.07528159, -0.76751655, -0.77458984, -0.17594276, 0.0, 0.0","0.7864925, -0.6790979"
"-0.34365615, 0.45150042, 0.13457426, -0.761962, -0.7815245, -0.13869229, 0.0, 0.0","0.8262276, -0.6333201"
"-0.34199762, 0.4344799, 0.16980645, -0.75909764, -0.7870345, -0.110200286, 0.0, 0.0","0.8816187, -0.5501877"
"-0.33970165, 0.41793418, 0.23266692, -0.73742414, -0.7913348, -0.08600548, 0.0, 0.0","0.914304, -0.46650594"
"-0.3367533, 0.40146434, 0.29743868, -0.73375416, -0.794997, -0.07324286, 0.0, 0.0","0.94979703, -0.39173558"
"-0.33327454, 0.38519663, 0.35050052, -0.7248034, -0.7987065, -0.07419036, 0.0, 0.0","1.0000305, -0.25644705"
"-0.32919568, 0.36946443, 0.41091123, -0.70128286, -0.80298734, -0.085617766, 0.0, 0.0","1.0000305, 0.043549914"
"-0.32443365, 0.35388073, 0.47883052, -0.69443387, -0.80673456, -0.07494445, 0.0, 0.0","0.9964293, 0.35477766"
"-0.3189304, 0.33856022, 0.5526371, -0.6825187, -0.81003183, -0.065945536, 0.0, 0.0","0.9432966, 0.48472548"
"-0.31272116, 0.323685, 0.6232805, -0.66277796, -0.81341195, -0.06760196, 0.0, 0.0","0.89724416, 0.5908078"
"-0.30602795, 0.3088413, 0.6726346, -0.6620661, -0.8181791, -0.09534163, 0.0, 0.0","0.869747, 0.64296395"
"-0.29878744, 0.29429936, 0.72852486, -0.6495104, -0.82466227, -0.12966417, 0.0, 0.0","0.8554338, 0.6741844"
"-0.29129848, 0.27949184, 0.7544648, -0.662159, -0.8327935, -0.16262451, 0.0, 0.0","0.8497574, 0.68382823"
"-0.28340134, 0.2642235, 0.79607403, -0.68329537, -0.84216464, -0.18742356, 0.0, 0.0","0.84954375, 0.6896878"
"-0.27506548, 0.24912967, 0.8411337, -0.67653465, -0.85341763, -0.22506054, 0.0, 0.0","0.84954375, 0.6908475"
"-0.2662143, 0.23410328, 0.89366734, -0.6744529, -0.8663538, -0.25872365, 0.0, 0.0","0.84954375, 0.6908475"
"-0.25691074, 0.21917203, 0.93996763, -0.6712478, -0.8811124, -0.29517215, 0.0, 0.0","0.853267, 0.6908475"
"-0.24720354, 0.20372409, 0.9809613, -0.6949737, -0.89713556, -0.32046318, 0.0, 0.0","0.8568987, 0.6926176"
"-0.23697004, 0.18823615, 1.0343997, -0.6977293, -0.91479295, -0.35314807, 0.0, 0.0","0.860622, 0.6926176"
"-0.22642803, 0.17256732, 1.0660903, -0.7068754, -0.93424624, -0.38906547, 0.0, 0.0","0.8669393, 0.68727684"
"-0.21515974, 0.1568156, 1.139214, -0.71146643, -0.95507896, -0.41665465, 0.0, 0.0","0.8715781, 0.6841639"
"-0.20346317, 0.14100109, 1.1827102, -0.71544117, -0.97772086, -0.4528377, 0.0, 0.0","0.8856471, 0.67644274"
"-0.19153957, 0.12497535, 1.2060367, -0.72610015, -1.0022645, -0.49087238, 0.0, 0.0","0.8963286, 0.66618854"
"-0.17881374, 0.10872561, 1.2863648, -0.7369702, -1.0280038, -0.5147851, 0.0, 0.0","0.9033784, 0.65611744"
"-0.16529799, 0.09236699, 1.3654696, -0.74284667, -1.0551207, -0.5423385, 0.0, 0.0","0.9092685, 0.65074617"
"-0.15145092, 0.075863466, 1.3988669, -0.75065863, -1.084132, -0.5802262, 0.0, 0.0","0.91238135, 0.64751124"
"-0.13802108, 0.07226702, 1.3914679, -0.2469016, -1.2068262, -2.4301827, 1.0, 0.0","0.9128086, 0.64711446"
"-0.124015905, 0.070014894, 1.4412568, -0.18863076, -1.3427327, -2.7164931, 1.0, 0.0","0.9153722, 0.6470229"
"-0.10950689, 0.06726416, 1.4739554, -0.21363015, -1.4799839, -2.7450569, 1.0, 0.0","0.9153722, 0.6470229"
"-0.094416715, 0.06399873, 1.5130368, -0.2387998, -1.618803, -2.7764149, 0.0, 0.0","0.915891, 0.64442885"
"-0.07831879, 0.059860047, 1.5941198, -0.27792692, -1.7588836, -2.8016486, 0.0, 0.0","0.915952, 0.64409316"
"-0.06159868, 0.055053458, 1.6362832, -0.3063103, -1.9006478, -2.83532, 0.0, 0.0","0.915952, 0.64409316"
"-0.044350147, 0.04912306, 1.6693208, -0.35266316, -2.0435605, -2.858292, 0.0, 0.0","0.915952, 0.64409316"
"-0.026371956, 0.041658007, 1.723284, -0.41523, -2.1874475, -2.877777, 0.0, 0.0","0.915952, 0.64409316"
"-0.0074505806, 0.032714304, 1.799319, -0.4737491, -2.332925, -2.909593, 0.0, 0.0","0.8939787, 0.64394057"
"0.012293816, 0.021962438, 1.8649517, -0.5449129, -2.4797564, -2.93667, 0.0, 0.0","0.62807095, 0.65266883"
"0.0054120063, 1.4000876, 0.54816085, -0.48145467, -0.006264356, -0.12416656, 0.0, 0.0","0.0, -0.021271402"
"0.0108241085, 1.388679, 0.5474203, -0.50708616, -0.012400121, -0.12272638, 0.0, 0.0","0.0, -0.01782281"
"0.0162364, 1.3766701, 0.54743916, -0.5337921, -0.018532025, -0.122649595, 0.0, 0.0","0.0, -0.016052736"
"0.021648979, 1.3640616, 0.5474573, -0.5604679, -0.02466313, -0.1226335, 0.0, 0.0","0.0, -0.016052736"
"0.02706175, 1.3508536, 0.5474752, -0.58714, -0.03079326, -0.12261405, 0.0, 0.0","0.0, -0.014831996"
"0.032474805, 1.337046, 0.5474933, -0.61381066, -0.036922414, -0.122594275, 0.0, 0.0","0.0, -0.014831996"
"0.037887953, 1.3226389, 0.5475112, -0.6404817, -0.043050602, -0.12257502, 0.0, 0.0","0.0, -0.014831996"
"0.043301392, 1.3076322, 0.5475291, -0.6671528, -0.049177833, -0.12255601, 0.0, 0.0","0.0, -0.014831996"
"0.048714925, 1.292026, 0.547547, -0.6938241, -0.055304114, -0.12253712, 0.0, 0.0","0.0, -0.014831996"
"0.054128744, 1.2758204, 0.5475647, -0.72049564, -0.061429456, -0.12251798, 0.0, 0.0","0.0, -0.014831996"
"0.059542656, 1.2590152, 0.54758227, -0.7471673, -0.067553826, -0.122498676, 0.0, 0.0","0.0, -0.011200293"
"0.06495686, 1.2416104, 0.54759985, -0.77383906, -0.07367724, -0.12247962, 0.0, 0.0","0.1333964, 0.00921659"
"0.070361994, 1.2239523, 0.5468067, -0.78512543, -0.079924, -0.124946356, 0.0, 0.0","0.4310129, 0.012939848"
"0.075818345, 1.2065709, 0.5519083, -0.7728569, -0.08614912, -0.124513745, 0.0, 0.0","1.0000305, -0.023102513"
"0.081203654, 1.1895375, 0.5453934, -0.7574448, -0.09296332, -0.1362963, 0.0, 0.0","1.0000305, -0.068453014"
"0.08659067, 1.1726431, 0.5457704, -0.75131756, -0.099983424, -0.14041501, 0.0, 0.0","1.0000305, -0.13614307"
"0.09208889, 1.1561172, 0.5566671, -0.73496085, -0.106785975, -0.13606365, 0.0, 0.0","1.0000305, -0.20645772"
"0.09774218, 1.1395568, 0.5716327, -0.7364827, -0.11305396, -0.12537083, 0.0, 0.0","1.0000305, -0.28629413"
"0.10351543, 1.123196, 0.5833429, -0.72761625, -0.1190455, -0.119841576, 0.0, 0.0","0.9859615, -0.3576464"
"0.10923481, 1.1068816, 0.578441, -0.7256127, -0.1255258, -0.12961791, 0.0, 0.0","0.9629505, -0.39963987"
"0.11494026, 1.0907029, 0.5774063, -0.719635, -0.13235544, -0.13660495, 0.0, 0.0","0.9395123, -0.44077882"
"0.12075281, 1.0745157, 0.58784264, -0.7200253, -0.13893314, -0.13156578, 0.0, 0.0","0.9278237, -0.49049348"
"0.12671232, 1.059139, 0.60246533, -0.68402565, -0.14543873, -0.1301235, 0.0, 0.0","0.91131324, -0.54731894"
"0.13291892, 1.0443103, 0.62556565, -0.6595407, -0.15033607, -0.097955346, 0.0, 0.0","0.89275795, -0.5822016"
"0.13906422, 1.0299637, 0.6185883, -0.63804793, -0.15440775, -0.08144079, 0.0, 0.0","0.8782617, -0.60551775"
"0.14541216, 1.0161852, 0.63731074, -0.61263883, -0.15692179, -0.050280295, 0.0, 0.0","0.87051, -0.61458176"
"0.15179682, 1.0024672, 0.6397172, -0.6098224, -0.15816553, -0.024874764, 0.0, 0.0","0.8678243, -0.6178777"
"0.15826759, 0.9894492, 0.6470846, -0.57857406, -0.15817617, -0.00021261966, 0.0, 0.0","0.8646199, -0.6178777"
"0.1646575, 0.976455, 0.6380147, -0.57741547, -0.15720555, 0.019412633, 0.0, 0.0","0.8702048, -0.59974974"
"0.17110261, 0.9641399, 0.6424231, -0.54711825, -0.15511568, 0.041797478, 0.0, 0.0","0.8989837, -0.53502"
"0.17746639, 0.9521038, 0.6335875, -0.53464997, -0.15232888, 0.05573594, 0.0, 0.0","0.9239784, -0.45088047"
"0.18387231, 0.9402347, 0.63797104, -0.52724934, -0.14970757, 0.05242584, 0.0, 0.0","1.0000305, -0.343791"
"0.1906066, 0.92927843, 0.66999745, -0.48660472, -0.14627916, 0.06856838, 0.0, 0.0","1.0000305, -0.01147496"
"0.19737443, 0.91906947, 0.67380375, -0.45344818, -0.14330183, 0.059546422, 0.0, 0.0","1.0000305, 0.083254494"
"0.20411539, 0.9089397, 0.67152625, -0.44996205, -0.14074692, 0.051098406, 0.0, 0.0","1.0000305, 0.24079104"
"0.21095362, 0.8993822, 0.6813248, -0.42454672, -0.13825218, 0.049894568, 0.0, 0.0","0.9820246, 0.38703573"
"0.21801081, 0.8905372, 0.7027598, -0.39284614, -0.13531172, 0.05880915, 0.0, 0.0","0.9437849, 0.48866236"
"0.22501317, 0.8822737, 0.6980291, -0.36706027, -0.13311306, 0.043973524, 0.0, 0.0","0.9267861, 0.553148"
"0.2322878, 0.87439, 0.7259527, -0.35026172, -0.13161825, 0.029896218, 0.0, 0.0","0.9098178, 0.61214024"
"0.23950072, 0.86669225, 0.7214978, -0.34213287, -0.1318256, -0.0041469284, 0.0, 0.0","0.88860744, 0.6425672"
"0.24676009, 0.85957, 0.72770834, -0.31670168, -0.1335915, -0.035318084, 0.0, 0.0","0.8681906, 0.68099004"
"0.25404254, 0.8529028, 0.7316905, -0.29663333, -0.13702007, -0.068571255, 0.0, 0.0","0.8542741, 0.7076632"
"0.26158658, 0.84616274, 0.7588981, -0.29997835, -0.14150275, -0.089654, 0.0, 0.0","0.8310801, 0.7248451"
"0.26945895, 0.83987147, 0.79281074, -0.28015083, -0.14704959, -0.1109367, 0.0, 0.0","0.8037049, 0.7451705"
"0.27739, 0.8335583, 0.80027217, -0.28131092, -0.15421432, -0.14329447, 0.0, 0.0","0.7858211, 0.7700125"
"0.28545752, 0.82730544, 0.815458, -0.2788378, -0.16290842, -0.17388198, 0.0, 0.0","0.77501756, 0.79280984"
"0.29373342, 0.82182384, 0.8378636, -0.2447908, -0.17319426, -0.20571736, 0.0, 0.0","0.76415294, 0.8178045"
"0.30204812, 0.81688786, 0.84365606, -0.2208421, -0.18541373, -0.24438903, 0.0, 0.0","0.74730676, 0.8326365"
"0.310386, 0.8122583, 0.8478732, -0.20758285, -0.19958378, -0.283401, 0.0, 0.0","0.73540455, 0.83996093"
"0.318855, 0.80804574, 0.8627404, -0.18944679, -0.21556668, -0.3196578, 0.0, 0.0","0.72557753, 0.84307384"
"0.3275897, 0.80390686, 0.8907653, -0.18657483, -0.23307925, -0.35025132, 0.0, 0.0","0.71572006, 0.8464003"
"0.33660764, 0.8003025, 0.9206344, -0.16328818, -0.25223368, -0.3830889, 0.0, 0.0","0.7112949, 0.84954375"
"0.34587985, 0.79647934, 0.94746673, -0.17352818, -0.27291706, -0.41366825, 0.0, 0.0","0.7082431, 0.84954375"
"0.35545236, 0.7925524, 0.9788308, -0.17871672, -0.29510415, -0.44374242, 0.0, 0.0","0.7082431, 0.84954375"
"0.36511564, 0.7887623, 0.9896366, -0.17335767, -0.31922612, -0.48243913, 0.0, 0.0","0.7057405, 0.8521378"
"0.3751336, 0.7851879, 1.0264122, -0.16449653, -0.3449209, -0.51389587, 0.0, 0.0","0.7057405, 0.85241246"
"0.3856098, 0.782102, 1.0734681, -0.14358398, -0.37215596, -0.54470193, 0.0, 0.0","0.762566, 0.8067873"
"0.39636153, 0.77931947, 1.1023414, -0.13101254, -0.4010958, -0.5787968, 0.0, 0.0","1.0000305, 0.47993407"
"0.40744084, 0.776859, 1.1345088, -0.11713915, -0.42974833, -0.5730509, 0.0, 0.0","1.0000305, -0.06323435"
"0.4188754, 0.7746391, 1.1693093, -0.10682456, -0.45798498, -0.5647335, 0.0, 0.0","1.0000305, -0.37983337"
"0.43064222, 0.7722277, 1.2014362, -0.11556325, -0.4853984, -0.5482686, 0.0, 0.0","0.94662315, -0.48231453"
"0.44283646, 0.7700681, 1.2433661, -0.104653254, -0.51228625, -0.53775644, 0.0, 0.0","0.86986905, -0.614246"
"0.45525628, 0.7681013, 1.2644641, -0.096066564, -0.5379132, -0.5125395, 0.0, 0.0","0.8148137, -0.6951506"
"0.4680353, 0.7662569, 1.2985504, -0.09039278, -0.5618057, -0.47785044, 0.0, 0.0","0.79223, -0.7289956"
"0.4810996, 0.7648752, 1.3255961, -0.06962807, -0.58429587, -0.44980305, 0.0, 0.0","0.7826167, -0.7451705"
"0.49442214, 0.76370186, 1.3498306, -0.060053296, -0.60523295, -0.41874185, 0.0, 0.0","0.77916807, -0.7528611"
"0.50817287, 0.7626938, 1.3908776, -0.052229803, -0.6243074, -0.3814884, 0.0, 0.0","0.77605516, -0.753502"
"0.52201235, 0.76186967, 1.3984783, -0.043727465, -0.6420918, -0.35568863, 0.0, 0.0","0.78038883, -0.75643176"
"0.536312, 0.76108533, 1.442726, -0.04130638, -0.65790004, -0.31616417, 0.0, 0.0","0.7804804, -0.7564928"
"0.5509887, 0.76042074, 1.478858, -0.035379555, -0.67193395, -0.28067786, 0.0, 0.0","0.7804804, -0.7564928"
"0.56606644, 0.75968945, 1.5173271, -0.03761263, -0.68402654, -0.24185237, 0.0, 0.0","0.7835627, -0.74456006"
"0.58159876, 0.75940734, 1.5614469, -0.01704336, -0.6945334, -0.2101361, 0.0, 0.0","0.7870113, -0.7341838"
"0.59739, 0.75905144, 1.5859754, -0.019656667, -0.7033694, -0.17671964, 0.0, 0.0","0.78975797, -0.72966707"
"0.6134632, 0.7590254, 1.6130886, -0.004435919, -0.71084857, -0.14958328, 0.0, 0.0","0.7900632, -0.7275307"
"0.6300278, 0.7593387, 1.6608953, 0.011348716, -0.71666986, -0.116425276, 0.0, 0.0","0.79012424, -0.72640157"
"0.64701974, 0.75966597, 1.7022461, 0.012767107, -0.72066504, -0.07990352, 0.0, 0.0","0.79012424, -0.72640157"
"0.66446626, 0.7600708, 1.746319, 0.017020788, -0.72285056, -0.04371005, 0.0, 0.0","0.79012424, -0.72640157"
"0.68239516, 0.7605865, 1.7931654, 0.022754997, -0.7232143, -0.0072753085, 0.0, 0.0","0.79302347, -0.72640157"
"0.7009615, 0.761493, 1.8555305, 0.040946953, -0.72175896, 0.029107144, 0.0, 0.0","0.7965331, -0.72640157"
"0.72008705, 0.76284945, 1.9101906, 0.061666735, -0.71865165, 0.062146455, 0.0, 0.0","0.79912716, -0.72640157"
"0.73950636, 0.7643938, 1.9384279, 0.07067334, -0.7140732, 0.09156992, 0.0, 0.0","0.79964596, -0.7244789"
"0.75899523, 0.76590115, 1.9443687, 0.06958527, -0.7081801, 0.11786123, 0.0, 0.0","0.7997375, -0.72325814"
"0.7787174, 0.76770246, 1.9666889, 0.08319752, -0.7009999, 0.1436037, 0.0, 0.0","0.7997375, -0.72325814"
"0.7985056, 0.7695119, 1.9722435, 0.084084734, -0.69255, 0.1689988, 0.0, 0.0","0.7997375, -0.72325814"
"0.81854916, 0.7713295, 1.9965117, 0.085085556, -0.6825266, 0.20046887, 0.0, 0.0","0.7997375, -0.72325814"
"0.8388426, 0.77343595, 2.0203738, 0.09843408, -0.6711651, 0.22723117, 0.0, 0.0","0.7997375, -0.72325814"
"0.8595726, 0.77607137, 2.0627909, 0.12247958, -0.65834934, 0.25631493, 0.0, 0.0","0.7997375, -0.72325814"
"0.8804785, 0.77895486, 2.0792575, 0.13392997, -0.6442637, 0.28171295, 0.0, 0.0","0.7997375, -0.72325814"
"0.9017801, 0.78183645, 2.1171966, 0.13448147, -0.6283335, 0.31860274, 0.0, 0.0","0.7997375, -0.72325814"
"0.92355025, 0.7851933, 2.162546, 0.15607876, -0.6107944, 0.35078028, 0.0, 0.0","0.7997375, -0.72325814"
"0.94570273, 0.78921646, 2.1994855, 0.1860303, -0.5919158, 0.37757438, 0.0, 0.0","0.7997375, -0.72325814"
"0.96826875, 0.7933415, 2.2390835, 0.19103144, -0.5711936, 0.41444406, 0.0, 0.0","0.7997375, -0.72325814"
"0.9910768, 0.79727453, 2.261517, 0.18288201, -0.5486992, 0.4498879, 0.0, 0.0","0.7997375, -0.72325814"
"0.0061234473, 1.418051, 0.62021875, 0.3169173, -0.007088703, -0.14048876, 0.0, 0.0","0.7997375, -0.72325814"
"0.012213993, 1.4255369, 0.6145793, 0.3326662, -0.0125532765, -0.10930072, 0.0, 0.0","0.7997375, -0.72325814"
"0.018089581, 1.4329983, 0.5920397, 0.3315753, -0.016979184, -0.0885264, 0.0, 0.0","0.7997375, -0.72325814"
"0.023827363, 1.4406264, 0.5770179, 0.33898428, -0.020190418, -0.06423034, 0.0, 0.0","0.7997375, -0.72325814"
"0.029378891, 1.448232, 0.5572874, 0.33800077, -0.022300243, -0.042200286, 0.0, 0.0","0.79979855, -0.72023684"
"0.03499956, 1.4558338, 0.56247413, 0.3378514, -0.022703277, -0.008061342, 0.0, 0.0","0.80751973, -0.6863002"
"0.040549755, 1.4640925, 0.5541281, 0.36706302, -0.021836644, 0.017334623, 0.0, 0.0","0.8215583, -0.66515094"
"0.046083163, 1.4727675, 0.551083, 0.38558742, -0.019597994, 0.044777054, 0.0, 0.0","0.83278906, -0.665273"
"0.051691532, 1.4818327, 0.55694824, 0.4029485, -0.015745606, 0.07705483, 0.0, 0.0","0.49418622, -0.5798822"
"0.057194613, 1.491308, 0.54542947, 0.42116243, -0.010915778, 0.096605316, 0.0, 0.0","0.16864528, -0.25022125"
"0.062635615, 1.5009248, 0.5395318, 0.42744234, -0.0064059976, 0.090203695, 0.0, 0.0","0.0, -0.19232765"
"0.06807642, 1.5099419, 0.5395187, 0.40077072, -0.0018965043, 0.09019821, 0.0, 0.0","0.0, -0.08517716"
"0.07351694, 1.5183592, 0.5395054, 0.3741031, 0.0026121777, 0.0901816, 0.0, 0.0","0.0, -0.041901913"
"0.07895746, 1.5261768, 0.53949225, 0.34743392, 0.0071201497, 0.09016775, 0.0, 0.0","0.0, -0.027710807"
"0.08439779, 1.5333947, 0.539479, 0.32076392, 0.011627427, 0.09015353, 0.0, 0.0","0.0, -0.023255104"
"0.08983803, 1.5400128, 0.5394659, 0.29409376, 0.016134003, 0.0901397, 0.0, 0.0","0.0, -0.021362957"
"0.09527807, 1.546031, 0.53945285, 0.2674236, 0.020639904, 0.0901262, 0.0, 0.0","0.0, -0.02029481"
"0.10071802, 1.5514495, 0.5394398, 0.24075331, 0.025145125, 0.09011246, 0.0, 0.0","0.0, -0.02029481"
"0.10615778, 1.5562682, 0.5394269, 0.21408291, 0.029649667, 0.09009892, 0.0, 0.0","0.0, -0.02029481"
"0.11159744, 1.5604872, 0.5394139, 0.18741243, 0.03415353, 0.090085395, 0.0, 0.0","0.0, -0.02029481"
"0.11703692, 1.5641063, 0.5394011, 0.16074187, 0.038656723, 0.09007188, 0.0, 0.0","0.0, -0.02029481"
"0.122476295, 1.5671259, 0.5393883, 0.13407119, 0.043159246, 0.09005842, 0.0, 0.0","0.0, -0.02029481"
"0.12791558, 1.5695455, 0.5393756, 0.10740044, 0.047661085, 0.09004499, 0.0, 0.0","0.0, -0.02029481"
"0.13335466, 1.5713654, 0.53936297, 0.08072961, 0.05216228, 0.090031624, 0.0, 0.0","0.0, -0.02029481"
"0.13879356, 1.5725855, 0.5393504, 0.054058645, 0.0566628, 0.090018295, 0.0, 0.0","0.0, -0.02029481"
"0.14422636, 1.5731944, 0.539138, 0.026902806, 0.06076061, 0.081962325, 0.0, 0.0","0.0, -0.02029481"
"0.14966603, 1.5731934, 0.5394128, -0.00023399117, 0.065260336, 0.08999466, 0.0, 0.0","0.0, -0.02029481"
"0.15510559, 1.5725927, 0.5394129, -0.026902359, 0.06976005, 0.08999448, 0.0, 0.0","0.0, -0.02029481"
"0.16054526, 1.5713923, 0.5394131, -0.053570725, 0.07425976, 0.089994386, 0.0, 0.0","0.0, -0.02029481"
"0.16598491, 1.5695921, 0.53941333, -0.08023909, 0.07875947, 0.08999424, 0.0, 0.0","0.0, -0.02029481"
"0.17142448, 1.5671923, 0.5394135, -0.10690746, 0.08325918, 0.0899944, 0.0, 0.0","0.0, -0.02029481"
"0.17686415, 1.5641927, 0.5394137, -0.13357581, 0.08775889, 0.08999436, 0.0, 0.0","0.0, -0.02029481"
"0.18230371, 1.5605931, 0.53941387, -0.16024418, 0.09225861, 0.089994214, 0.0, 0.0","0.0, -0.02029481"
"0.18774319, 1.5563942, 0.53941405, -0.18691254, 0.0967583, 0.08999403, 0.0, 0.0","0.0, -0.02029481"
"0.19318275, 1.5515954, 0.5394143, -0.21358089, 0.10125797, 0.08999384, 0.0, 0.0","0.0, -0.02029481"
"0.19862232, 1.5461968, 0.5394145, -0.24024926, 0.105757646, 0.0899937, 0.0, 0.0","0.0, -0.02029481"
"0.20406179, 1.5401986, 0.53941476, -0.26691765, 0.11025733, 0.08999363, 0.0, 0.0","0.0, -0.02029481"
"0.20950127, 1.5336004, 0.539415, -0.293586, 0.11475702, 0.089993484, 0.0, 0.0","0.0, -0.02029481"
"0.21494064, 1.5264027, 0.5394153, -0.3202544, 0.119256675, 0.08999336, 0.0, 0.0","0.0, -0.02029481"
"0.22038011, 1.5186052, 0.5394156, -0.34692273, 0.12375632, 0.089993246, 0.0, 0.0","0.0, -0.02029481"
"0.2258195, 1.510208, 0.53941596, -0.37359107, 0.12825598, 0.0899931, 0.0, 0.0","0.0, -0.02029481"
"0.23125887, 1.501211, 0.53941625, -0.40025944, 0.1327556, 0.089993, 0.0, 0.0","0.0, -0.02029481"
"0.23669824, 1.4916145, 0.5394166, -0.42692778, 0.13725527, 0.08999287, 0.0, 0.0","0.0, -0.02029481"
"0.24213752, 1.4814179, 0.5394169, -0.45359614, 0.14175491, 0.08999278, 0.0, 0.0","0.0, -0.02029481"
"0.2475768, 1.4706218, 0.53941727, -0.4802645, 0.14625452, 0.08999265, 0.0, 0.0","0.0, -0.02029481"
"0.25301608, 1.459226, 0.5394176, -0.50693285, 0.15075417, 0.08999253, 0.0, 0.0","0.0, -0.02029481"
"0.25845528, 1.4472303, 0.5394181, -0.53360116, 0.15525377, 0.08999235, 0.0, 0.0","0.0, -0.02029481"
"0.26389447, 1.4346349, 0.5394184, -0.56026953, 0.1597534, 0.089992255, 0.0, 0.0","0.0, -0.02029481"
"0.26933366, 1.4214399, 0.5394188, -0.58693796, 0.164253, 0.08999213, 0.0, 0.0","0.0, -0.02029481"
"0.27477273, 1.4076452, 0.53941923, -0.6136063, 0.1687526, 0.08999192, 0.0, 0.0","0.0, -0.02029481"
"0.28021184, 1.3932507, 0.53941965, -0.6402746, 0.17325218, 0.08999178, 0.0, 0.0","0.0, -0.02029481"
"0.2856509, 1.3782563, 0.5394201, -0.66694283, 0.17775176, 0.08999147, 0.0, 0.0","0.0, -0.02029481"
"0.29108992, 1.3626623, 0.5394206, -0.69361115, 0.18225133, 0.089991346, 0.0, 0.0","0.0, -0.02029481"
"0.2965289, 1.3464687, 0.539421, -0.72027946, 0.18675089, 0.08999121, 0.0, 0.0","0.0, -0.02029481"
"0.30196792, 1.3296752, 0.5394215, -0.7469478, 0.19125046, 0.08999126, 0.0, 0.0","0.0, -0.02029481"
"0.3074068, 1.3122818, 0.539422, -0.7736161, 0.19575003, 0.08999112, 0.0, 0.0","0.0, -0.02029481"
"0.3128457, 1.2942889, 0.53942245, -0.80028445, 0.20024957, 0.08999099, 0.0, 0.0","0.0, -0.02029481"
"0.3182846, 1.2756964, 0.539423, -0.82695276, 0.20474909, 0.08999087, 0.0, 0.0","0.0, -0.024323253"
"0.3237235, 1.2565039, 0.53942347, -0.85362107, 0.20924862, 0.08999072, 0.0, 0.0","0.0, -0.072328866"
"0.32916242, 1.2367116, 0.53942406, -0.8802893, 0.21374814, 0.0899906, 0.0, 0.0","0.41541794, -0.3929258"
"0.33445185, 1.2170541, 0.5246889, -0.874288, 0.21805319, 0.0861011, 0.0, 0.0","0.71828365, -0.7015595"
